LNR,RESPONSE
1754,0.38003468472516827
1770,0.7119607619678825
1465,0.13733383873960128
1470,0.10148668361550547
1478,0.5448464680778466
1782,0.12562852459399565
1485,0.2849238990147596
1519,0.33521765719834906
1835,0.2979514700204391
1522,0.302678442895837
1539,0.7037689244934663
1853,0.6118249881576173
1856,0.45527520646240727
2502,0.4032939204937853
2182,0.4329958881046096
2191,0.2662579629502161
2522,0.20100128751787422
2530,0.46811127270429004
2215,0.5359896160828251
2550,0.6783754893718993
2570,0.8133236927312293
2574,0.4152583728619298
2579,0.6056686919767029
2247,0.6692870359896094
2674,0.22240901428177756
11434,0.2533740004243475
11122,0.8065883234104915
11127,0.5149410228699511
11443,0.5525987196508274
11170,0.44655030535521506
11191,0.26922305015973064
11198,0.8270618793221781
10936,0.5449559370559659
11244,0.706535766998686
11247,0.32714828637589455
11252,0.3803425938022454
11259,0.44446595455402405
10945,0.12190855819835147
10951,0.3681993609830996
11271,0.4992135571954663
10963,0.4149500959278227
11282,0.6088103242839049
11291,0.10589428938567819
10980,0.46388064927010025
10994,0.11035211048270137
10998,0.44655030535521506
11303,0.5084837127644902
11630,0.14675454094111745
11636,0.3054057054288195
11949,0.393093102739618
11950,0.8103232161726441
11956,0.7968499530883353
11648,0.44655030535521506
11653,0.3934697035349362
11967,0.4668970083326107
11972,0.11381604091998293
11975,0.6168218562416272
12110,0.580464248234936
12113,0.871125756139784
11712,0.06309901218649183
11716,0.5428627998577938
12000,0.17199319848599118
11722,0.10834825183290829
12023,0.44655030535521506
12046,0.2911685454756969
11762,0.44446595455402405
12071,0.20066513667127217
12077,0.3369902723715985
11785,0.6525955590276397
11788,0.3842600903124696
11790,0.13991314602598598
11800,0.5916636209869167
11806,0.24091747981751332
11816,0.048751856648700145
11505,0.1640363977013181
11837,0.6894113557625645
11531,0.7218889834995854
11848,0.25383478665411713
11854,0.14479336821109723
11877,0.25277071128684336
11563,0.46272742420540175
11567,0.8054459824685734
11894,0.5637697733375308
11906,0.41298005151028333
11917,0.44655030535521506
11610,0.44655030535521506
11923,0.357920482724716
12596,0.33989377649483865
